feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,model_layer,model_layer_depth,mean_train,mean_test,n_subjects,rank_by_mean_train,rank_by_mean_test,selection_rule
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,srpr,PreActBottleneck-15,0.9345238095238096,0.37535516607909464,0.38732955096842403,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,srpr,StdConv2d-49,0.9107142857142856,0.3761316709614033,0.38534233968045717,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,wrsa,PreActBottleneck-15,0.9345238095238096,0.7121136055712375,0.6993139610526341,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,wrsa,StdConv2d-49,0.9107142857142856,0.7126170436828276,0.6985511074417923,4,1,2,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,crsa,StdConv2d-39,0.7261904761904762,0.36876682524787613,0.35576198230802425,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,crsa,StdConv2d-39,0.7261904761904762,0.36876682524787613,0.35576198230802425,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,srpr,GroupNorm-45,0.9166666666666666,0.3733488127285554,0.38457778442052737,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,srpr,StdConv2d-48,0.8928571428571429,0.3748692446552072,0.38029091088516376,4,1,5,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,wrsa,PreActBottleneck-15,0.9345238095238096,0.7030653378724293,0.6963559499506081,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Relation,wrsa,StdConv2d-49,0.9107142857142856,0.706128038324446,0.6938611816486138,4,1,3,highest_mean_train_score_across_subjects
