deepnsd_model_string,feature_stem,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,region,subj_id,model_layer,model_layer_depth,nsd_test_score_for_train_selected_layer
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.339635631083379
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.684645950234284
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,OTC,2,PreActBottleneck-15,0.93452380952381,0.705004190232417
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,OTC,5,PreActBottleneck-15,0.93452380952381,0.744497345223344
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.630164981484602
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.355601732380437
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.368854221974013
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.358223580835102
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.341113797274611
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,OTC,1,StdConv2d-48,0.892857142857143,0.364376060244477
