feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,display_name,metric,region,consensus_layer,subject_votes_for_consensus,n_subjects,mean_nsd_test_score_for_consensus_layer,mean_nsd_test_score_across_subject_train_selected_layers,selected_layers_by_subject
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Mammal,srpr,OTC,PreActBottleneck-15,2,4,0.3951466880600075,0.3828646673458425,1:PreActBottleneck-15;2:StdConv2d-48;5:PreActBottleneck-15;7:StdConv2d-49
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Mammal,wrsa,OTC,PreActBottleneck-15,3,4,0.7206123141484989,0.6995172430365455,1:PreActBottleneck-15;2:PreActBottleneck-15;5:PreActBottleneck-15;7:StdConv2d-49
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Object,crsa,OTC,StdConv2d-39,2,4,0.35962901398427,0.348372138070172,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-48;7:StdConv2d-48
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Object,srpr,OTC,GroupNorm-45,1,4,0.42684837580003,0.38626148115079795,1:PreActBottleneck-15;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Object,wrsa,OTC,StdConv2d-49,2,4,0.6910336147453235,0.6991505878002028,1:PreActBottleneck-15;2:GroupNorm-45;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Relation,crsa,OTC,StdConv2d-39,4,4,0.35576198230802425,0.35576198230802425,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Relation,srpr,OTC,StdConv2d-48,2,4,0.38413444307223554,0.3843338792858463,1:StdConv2d-48;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Relation,wrsa,OTC,StdConv2d-49,2,4,0.686545618104676,0.6927882340025274,1:PreActBottleneck-15;2:StdConv2d-48;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Vehicle,crsa,OTC,StdConv2d-39,4,4,0.35009959457756074,0.35009959457756074,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Vehicle,srpr,OTC,GroupNorm-45,1,4,0.424015522941349,0.3827708779217977,1:PreActBottleneck-15;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Vehicle,wrsa,OTC,StdConv2d-49,2,4,0.6821054002149489,0.690576645149307,1:PreActBottleneck-15;2:StdConv2d-48;5:StdConv2d-49;7:StdConv2d-49
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,DPT-Hybrid,crsa,OTC,Linear-7,4,4,0.2654628344642645,0.2654628344642645,1:Linear-7;2:Linear-7;5:Linear-7;7:Linear-7
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,DPT-Hybrid,srpr,OTC,Linear-11,3,4,0.34484000962813033,0.355935498842211,1:Linear-11;2:Linear-11;5:LayerNorm-8;7:Linear-11
DPT_Hybrid_monoculardepth,DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,DPT-Hybrid,wrsa,OTC,Linear-14,1,4,0.661629909743478,0.6203685358152237,1:Linear-10;2:LayerNorm-8;5:Linear-14;7:Linear-18
MiDaS_monoculardepth,MiDaS_monoculardepth,MiDaS,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDaS,,MiDaS,crsa,OTC,BatchNorm2d-72,3,4,0.19917232206158034,0.19964158014237326,1:BatchNorm2d-72;2:BatchNorm2d-72;5:BatchNorm2d-72;7:Conv2d-72
MiDaS_monoculardepth,MiDaS_monoculardepth,MiDaS,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDaS,,MiDaS,srpr,OTC,Conv2d-100,3,4,0.34371564886013034,0.34904440905636747,1:Conv2d-100;2:BatchNorm2d-80;5:Conv2d-100;7:Conv2d-100
MiDaS_monoculardepth,MiDaS_monoculardepth,MiDaS,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDaS,,MiDaS,wrsa,OTC,Conv2d-89,2,4,0.6309295863206125,0.6186797979787058,1:Conv2d-100;2:Conv2d-89;5:Conv2d-89;7:BatchNorm2d-98
RN101_clip,RN101_clip,RN101,clip,openai400M,ResNet101,Convolutional,CLiP-ResNet101,crsa,OTC,Conv2d-83,4,4,0.35317309169338973,0.35317309169338973,1:Conv2d-83;2:Conv2d-83;5:Conv2d-83;7:Conv2d-83
RN101_clip,RN101_clip,RN101,clip,openai400M,ResNet101,Convolutional,CLiP-ResNet101,srpr,OTC,Conv2d-102,2,4,0.38480559664667846,0.38570342268818525,1:Conv2d-100;2:Conv2d-73;5:Conv2d-102;7:Conv2d-102
