model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
class_object_taskonomy,wrsa,5,5,0,0.31607442021369936,0.3117134034633636,0.018353768194635765,0.04104027332647915,0.20476517498493196,10.0,1.0,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
class_scene_taskonomy,crsa,5,5,0,0.09838043853640557,0.09899426698684692,0.007806026322380328,0.0174548054909951,0.09855865269899369,3.0,0.3,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
class_scene_taskonomy,srpr,5,5,0,0.31497391067187497,0.30894239303705584,0.005207025850681422,0.01164326376272233,0.3168994424387376,5.0,0.5,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
class_scene_taskonomy,wrsa,5,5,0,0.327727729678154,0.3534423649311066,0.031219289761848717,0.06980845411675697,0.19064540565013885,6.0,0.6,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
coat_lite_tiny_classification,crsa,5,5,0,0.14851082772016527,0.15198449194431304,0.008290107716441484,0.01853724439475871,0.14845701009035112,0.0,0.0,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
coat_lite_tiny_classification,srpr,5,5,0,0.40690756967342523,0.4036188826141431,0.006177342713749182,0.013812958228256188,0.40832777298037914,6.0,0.6,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
coat_lite_tiny_classification,wrsa,5,5,0,0.4743333327770233,0.49457489848136904,0.035044578672963435,0.07836206015558561,0.3293789100646973,6.0,0.6,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
convnext_base_classification,crsa,5,5,0,0.16140947967767716,0.16522894501686097,0.01303530967025231,0.029147838530444545,0.15725910156965256,2.0,0.18181818181818182,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_base_classification,srpr,5,5,0,0.4238741496381687,0.4204444729453428,0.006524608169953204,0.014589467394565857,0.42463385554238126,7.0,0.6363636363636364,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_base_classification,wrsa,5,5,0,0.5255776107311249,0.534288489818573,0.030355746774288893,0.0678775132950799,0.3480910861492157,7.0,0.6363636363636364,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_base_in22k_classification,crsa,5,5,0,0.15691399157047273,0.14103127121925355,0.011498119870819236,0.025710577644592912,0.15976867973804473,11.0,1.0,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_base_in22k_classification,srpr,5,5,0,0.4227351169348241,0.41935056729982084,0.0063382073440676175,0.01417266247682359,0.4233834206360643,7.0,0.6363636363636364,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_base_in22k_classification,wrsa,5,5,0,0.5242826461791992,0.5339858531951904,0.030646437467014537,0.06852751744444094,0.3474844455718994,7.0,0.6363636363636364,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_large_classification,crsa,5,5,0,0.16986659318208694,0.17815735936164856,0.015223321983877162,0.034040382799316295,0.16535594791173935,2.0,0.18181818181818182,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_large_classification,srpr,5,5,0,0.40679498353460825,0.4045316798024029,0.006148387406765657,0.01374821219353166,0.40718582644446233,7.0,0.6363636363636364,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_large_classification,wrsa,5,5,0,0.4754658305644989,0.46450291872024535,0.02749652093936565,0.061484089965167986,0.33348445892333983,0.0,0.0,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_large_in22k_classification,crsa,5,5,0,0.1688971820473671,0.17220713794231415,0.010435776853706042,0.02333510644290559,0.16910510003566742,2.0,0.18181818181818182,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_large_in22k_classification,srpr,5,5,0,0.4055882979595462,0.40412311101877857,0.005754146389854996,0.01286666248020078,0.4049426451751518,7.0,0.6363636363636364,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_large_in22k_classification,wrsa,5,5,0,0.45696357727050785,0.45780781507492063,0.024036185465385457,0.05374654462039429,0.3354038059711456,11.0,1.0,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
crossvit_base_240_classification,crsa,5,5,0,0.24720972418785095,0.24860287606716155,0.017629680894068515,0.03942116490076647,0.2520566594600678,2.0,0.18181818181818182,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
crossvit_base_240_classification,srpr,5,5,0,0.4046118396865265,0.40370897516297316,0.006496753490855245,0.014527182438611386,0.40527093414061344,9.0,0.8181818181818182,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
crossvit_base_240_classification,wrsa,5,5,0,0.4849552631378174,0.4886200428009033,0.030190168681788764,0.0675072694246649,0.3283240163326263,4.0,0.36363636363636365,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
cspresnet50_classification,crsa,5,5,0,0.2639755475521087,0.27601735591888427,0.01550699203972532,0.03467468832737394,0.2590732961893082,4.0,0.36363636363636365,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
cspresnet50_classification,srpr,5,5,0,0.4182938011480931,0.41556743695166026,0.006719645285228537,0.015025583642456972,0.4193333271679526,4.0,0.36363636363636365,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
cspresnet50_classification,wrsa,5,5,0,0.5020960628986358,0.49555503129959105,0.03109635901266221,0.06953357260505093,0.35140034079551696,4.0,0.36363636363636365,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
curvature_taskonomy,crsa,5,5,0,0.09815533936023713,0.10096126794815063,0.00940745019442164,0.021035698129670405,0.09467706054449081,2.0,0.2,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
curvature_taskonomy,srpr,5,5,0,0.2606342089663258,0.25680517743965064,0.0045127446963598526,0.010090803906162286,0.2611799141251102,3.0,0.3,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
curvature_taskonomy,wrsa,5,5,0,0.04909502914175391,0.036820290610194206,0.015602619865020704,0.03488851864527489,0.167697172164917,10.0,1.0,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
deit_base_patch16_224_classification,crsa,5,5,0,0.14296121031045914,0.14397922158241272,0.010146786567602933,0.022688904518341914,0.13946899384260175,6.0,0.6,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
deit_base_patch16_224_classification,srpr,5,5,0,0.4041662375135749,0.40229946068345057,0.006008813601977979,0.013436115678148125,0.40391494243510584,7.0,0.7,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
deit_base_patch16_224_classification,wrsa,5,5,0,0.4898787105083466,0.4952573597431183,0.02807274373071091,0.06277256329680066,0.324631952047348,8.0,0.8,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
denoising_taskonomy,crsa,5,5,0,0.08410893231630326,0.08734989762306214,0.00930244061310546,0.020800889567558628,0.07971581563353539,2.0,0.2,Convolutional,taskonomy,taskonomy,taskonomy,Other,task_taskonomy
denoising_taskonomy,srpr,5,5,0,0.15754211120526512,0.1573394958696761,0.003947844838885515,0.008827649424369722,0.1593903162276326,10.0,1.0,Convolutional,taskonomy,taskonomy,taskonomy,Other,task_taskonomy
denoising_taskonomy,wrsa,5,5,0,0.16883867263793945,0.14998209476470947,0.02071886045814399,0.0463287804007424,0.09811674624681473,10.0,1.0,Convolutional,taskonomy,taskonomy,taskonomy,Other,task_taskonomy
