source_order,feature_stem,feature_file,result_model,feature_exists,in_manifest,status,deepnsd_model_string,model_display_name,model_class,architecture,train_type,train_data,compare_architecture,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_selfsupervised,compare_goal_contrastive,compare_goal_slip,compare_diet_imagenetsize,compare_diet_ipcl,needed_for,all_deepnsd_model_strings
38,keypoints3d_taskonomy,keypoints3d_taskonomy.h5,keypoints3d_taskonomy,True,True,included,keypoints3d_taskonomy,3D Keypoints,Convolutional,resnet50,taskonomy,taskonomy,,keypoints3d,3D,,,,,,fig3_taskonomy,keypoints3d_taskonomy
39,nonfixated_pose_taskonomy,nonfixated_pose_taskonomy.h5,nonfixated_pose_taskonomy,True,True,included,nonfixated_pose_taskonomy,Camera Pose (Nonfixated),Convolutional,resnet50,taskonomy,taskonomy,,nonfixated_pose,Geometric,,,,,,fig3_taskonomy,nonfixated_pose_taskonomy
40,normal_taskonomy,normal_taskonomy.h5,normal_taskonomy,True,True,included,normal_taskonomy,Surface Normals,Convolutional,resnet50,taskonomy,taskonomy,,normal,3D,,,,,,fig3_taskonomy,normal_taskonomy
41,point_matching_taskonomy,point_matching_taskonomy.h5,point_matching_taskonomy,True,True,included,point_matching_taskonomy,Point Matching,Convolutional,resnet50,taskonomy,taskonomy,,point_matching,Geometric,,,,,,fig3_taskonomy,point_matching_taskonomy
42,reshading_taskonomy,reshading_taskonomy.h5,reshading_taskonomy,True,True,included,reshading_taskonomy,Reshading,Convolutional,resnet50,taskonomy,taskonomy,,reshading,3D,,,,,,fig3_taskonomy,reshading_taskonomy
43,room_layout_taskonomy,room_layout_taskonomy.h5,room_layout_taskonomy,True,True,included,room_layout_taskonomy,Room Layout,Convolutional,resnet50,taskonomy,taskonomy,,room_layout,Geometric,,,,,,fig3_taskonomy,room_layout_taskonomy
44,segment_semantic_taskonomy,segment_semantic_taskonomy.h5,segment_semantic_taskonomy,True,True,included,segment_semantic_taskonomy,Semantic Segmentation,Convolutional,resnet50,taskonomy,taskonomy,,segment_semantic,Semantic,,,,,,fig3_taskonomy,segment_semantic_taskonomy
45,segment_unsup25d_taskonomy,segment_unsup25d_taskonomy.h5,segment_unsup25d_taskonomy,True,True,included,segment_unsup25d_taskonomy,Unsupervised 2.5D Segmentation,Convolutional,resnet50,taskonomy,taskonomy,,segment_unsup25d,3D,,,,,,fig3_taskonomy,segment_unsup25d_taskonomy
46,segment_unsup2d_taskonomy,segment_unsup2d_taskonomy.h5,segment_unsup2d_taskonomy,True,True,included,segment_unsup2d_taskonomy,Unsupervised 2D Segmentation,Convolutional,resnet50,taskonomy,taskonomy,,segment_unsup2d,2D,,,,,,fig3_taskonomy,segment_unsup2d_taskonomy
47,vanishing_point_taskonomy,vanishing_point_taskonomy.h5,vanishing_point_taskonomy,True,True,included,vanishing_point_taskonomy,Vanishing Point,Convolutional,resnet50,taskonomy,taskonomy,,vanishing_point,Geometric,,,,,,fig3_taskonomy,vanishing_point_taskonomy
