region,model,score,rank
FBA,vit_small_patch16_224_in21k_classification,0.40175281167030336,75
FBA,resnet18_classification,0.4005134642124176,76
FBA,regnetx_064_classification,0.39900606870651245,77
FBA,vgg16_classification,0.3974973917007446,78
FBA,alexnet_classification,0.39089118838310244,79
FBA,ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.38943400979042053,80
FBA,ViT-L-CLIP_slip,0.3866446495056152,81
FBA,squeezenet1_0_classification,0.3854835987091064,82
FBA,ResNet50-RotNet_selfsupervised,0.3650572597980499,83
FBA,ResNet50-JigSaw-P100_selfsupervised,0.34002177119255067,84
FBA,ResNet50-JigSaw-Goyal19_selfsupervised,0.33791716694831847,85
FBA,vit_tiny_patch16_224_classification,0.3359700620174408,86
FBA,efficientnet_b1_classification,0.32499865293502805,87
FBA,alexnet_gn_ipcl_imagenet,0.3207080245018005,88
FBA,alexnet_gn_ipcl_openimages,0.29424567222595216,89
FBA,alexnet_gn_ipcl_places256,0.2515818476676941,90
FBA,class_object_taskonomy,0.17441450357437133,91
FBA,class_scene_taskonomy,0.16678199768066407,92
FBA,edge_occlusion_taskonomy,0.16306408047676085,93
FBA,keypoints3d_taskonomy,0.14871975034475327,94
FBA,reshading_taskonomy,0.14867399632930756,95
FBA,depth_zbuffer_taskonomy,0.14140389263629913,96
FBA,depth_euclidean_taskonomy,0.12371904402971268,97
FBA,segment_unsup25d_taskonomy,0.11554346978664398,98
FBA,segment_semantic_taskonomy,0.10755890756845474,99
FBA,alexnet_gn_ipcl_vggface2,0.102542694658041,100
FBA,room_layout_taskonomy,0.0889795571565628,101
FBA,normal_taskonomy,0.08373503163456916,102
FBA,segment_unsup2d_taskonomy,0.07776669636368752,103
FBA,vanishing_point_taskonomy,0.05967285670340061,104
FBA,edge_texture_taskonomy,0.054700878262519834,105
FBA,denoising_taskonomy,0.04067424815148115,106
FBA,egomotion_taskonomy,0.04038611222058534,107
FBA,inpainting_taskonomy,0.03723246268928051,108
FBA,keypoints2d_taskonomy,0.024612389132380487,109
FBA,point_matching_taskonomy,0.022221539169549942,110
FBA,jigsaw_taskonomy,0.021608502021990716,111
FBA,fixated_pose_taskonomy,0.01737008080817759,112
FBA,curvature_taskonomy,-0.0011640405049547554,113
FBA,nonfixated_pose_taskonomy,-0.003135005454532802,114
FBA,random_weights_taskonomy,-0.012113404041156173,115
FBA,autoencoding_taskonomy,-0.04764607418328524,116
FBA,xcit_nano_12_p16_224_classification,,117
FBA,xcit_nano_12_p8_224_classification,,118
FFA-1,ViT-L-SLIP_slip,0.4018113732337952,1
FFA-1,gmlp_s16_224_classification,0.400356137752533,2
FFA-1,swin_large_patch4_window7_224_in22k_classification,0.39443355798721313,3
FFA-1,convnext_large_classification,0.3910075664520264,4
FFA-1,googlenet_classification,0.38920952677726744,5
FFA-1,convnext_large_in22k_classification,0.3881677329540253,6
FFA-1,swin_base_patch4_window7_224_in22k_classification,0.3881142735481262,7
FFA-1,convnext_base_in22k_classification,0.3865749776363373,8
FFA-1,convnext_base_classification,0.3845848798751831,9
FFA-1,resmlp_big_24_224_classification,0.3821356505155563,10
FFA-1,resmlp_big_24_224_in22ft1k_classification,0.381756466627121,11
FFA-1,swin_large_patch4_window7_224_classification,0.3805619955062866,12
FFA-1,efficientnet_b3_classification,0.3803883045911789,13
FFA-1,hardcorenas_a_classification,0.3800509929656982,14
FFA-1,swin_tiny_patch4_window7_224_classification,0.378758442401886,15
FFA-1,inception_v3_classification,0.3781536817550659,16
FFA-1,nfnet_l0_classification,0.3779463589191437,17
FFA-1,ResNet50-BarlowTwins-BS2048_selfsupervised,0.37711515426635744,18
FFA-1,ghostnet_100_classification,0.37646747529506686,19
FFA-1,levit_128_classification,0.3760421097278595,20
FFA-1,nf_resnet50_classification,0.372901576757431,21
FFA-1,ViT-B-SimCLR_slip,0.37221895456314086,22
FFA-1,ViT-S-SLIP_slip,0.3717862904071808,23
FFA-1,cspresnet50_classification,0.37134196758270266,24
FFA-1,hardcorenas_f_classification,0.369414234161377,25
FFA-1,mobilenet_v2_classification,0.36897075176239014,26
FFA-1,jx_nest_tiny_classification,0.36737777590751647,27
FFA-1,mnasnet1_0_classification,0.36473865807056427,28
FFA-1,poolformer_s36_classification,0.3646781384944916,29
FFA-1,regnety_064_classification,0.36456695199012756,30
FFA-1,semnasnet_100_classification,0.3632213771343231,31
FFA-1,mixer_l16_224_in21k_classification,0.3631397545337677,32
FFA-1,mixer_l16_224_classification,0.3631397545337677,33
FFA-1,ViT-B-CLIP_slip,0.36261993944644927,34
FFA-1,mixer_b16_224_classification,0.3623888075351715,35
FFA-1,mixer_b16_224_in21k_classification,0.3623888075351715,36
FFA-1,resnet101_classification,0.36174861788749696,37
FFA-1,swin_base_patch4_window7_224_classification,0.3616124391555786,38
FFA-1,eca_nfnet_l0_classification,0.3599091827869415,39
FFA-1,gmixer_24_224_classification,0.35864936709403994,40
FFA-1,shufflenet_v2_x1_0_classification,0.3584189236164093,41
FFA-1,visformer_small_classification,0.3581617593765259,42
FFA-1,mobilenetv3_large_100_classification,0.35750783085823057,43
FFA-1,ViT-B-SLIP_slip,0.35750179290771483,44
FFA-1,coat_lite_tiny_classification,0.3574974000453949,45
FFA-1,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,0.3556371420621872,46
FFA-1,dla34_classification,0.3554243862628937,47
FFA-1,ResNet50-SimCLR_selfsupervised,0.3529404431581497,48
FFA-1,resnet50_classification,0.35131635665893557,49
FFA-1,ViT-S-SimCLR_slip,0.35127350091934206,50
FFA-1,skresnext50_32x4d_classification,0.3512643396854401,51
FFA-1,ViT-S-CLIP_slip,0.35068318247795105,52
FFA-1,xception_classification,0.34826473891735077,53
FFA-1,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,0.3458564579486847,54
FFA-1,ResNet50-MoCoV2-BS256_selfsupervised,0.3456465721130371,55
FFA-1,resnet152_classification,0.3454138398170471,56
FFA-1,pit_ti_224_classification,0.3443149298429489,57
FFA-1,vit_large_patch16_224_in21k_classification,0.3410965085029602,58
FFA-1,pit_b_224_classification,0.3405841737985611,59
FFA-1,resnet18_classification,0.34052879810333253,60
FFA-1,seresnext50_32x4d_classification,0.3404188841581345,61
FFA-1,ViT-L-SimCLR_slip,0.3351971060037613,62
FFA-1,tnt_s_patch16_224_classification,0.3334988683462143,63
FFA-1,vit_small_patch16_224_classification,0.332873272895813,64
FFA-1,densenet121_classification,0.331635108590126,65
FFA-1,regnetx_064_classification,0.33122837245464326,66
FFA-1,deit_base_patch16_224_classification,0.3310397744178772,67
FFA-1,crossvit_base_240_classification,0.3298182666301727,68
FFA-1,ViT-L-CLIP_slip,0.3287646800279617,69
FFA-1,ResNet50-PIRL_selfsupervised,0.3267327338457108,70
FFA-1,vit_large_patch16_224_classification,0.32667683959007265,71
FFA-1,vit_base_patch32_224_classification,0.3261552929878235,72
FFA-1,vit_small_patch16_224_in21k_classification,0.3199177235364914,73
FFA-1,vit_small_patch32_224_in21k_classification,0.3192559480667114,74
FFA-1,ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.3188118666410446,75
FFA-1,alexnet_classification,0.3182961821556091,76
FFA-1,vit_base_patch16_224_classification,0.3152939587831497,77
FFA-1,vit_base_patch32_224_in21k_classification,0.3114433079957962,78
FFA-1,vit_small_patch32_224_classification,0.3090911477804184,79
FFA-1,vit_base_patch16_224_in21k_classification,0.3032390266656876,80
FFA-1,squeezenet1_0_classification,0.28876236975193026,81
FFA-1,ResNet50-RotNet_selfsupervised,0.28834939301013945,82
FFA-1,alexnet_gn_ipcl_imagenet,0.2854470074176788,83
FFA-1,vgg16_classification,0.2804292321205139,84
FFA-1,vit_tiny_patch16_224_classification,0.2738625019788742,85
FFA-1,ResNet50-JigSaw-Goyal19_selfsupervised,0.26561949849128724,86
FFA-1,alexnet_gn_ipcl_openimages,0.2495142012834549,87
FFA-1,ResNet50-JigSaw-P100_selfsupervised,0.22226058840751647,88
FFA-1,alexnet_gn_ipcl_places256,0.2112281322479248,89
FFA-1,efficientnet_b1_classification,0.20667542330920696,90
FFA-1,alexnet_gn_ipcl_vggface2,0.17601380348205567,91
FFA-1,keypoints3d_taskonomy,0.14079397469758986,92
FFA-1,depth_zbuffer_taskonomy,0.14020570665597915,93
FFA-1,class_object_taskonomy,0.1255459740757942,94
FFA-1,class_scene_taskonomy,0.1235808864235878,95
FFA-1,depth_euclidean_taskonomy,0.12023731917142869,96
FFA-1,reshading_taskonomy,0.11663404256105422,97
FFA-1,edge_occlusion_taskonomy,0.11648360341787338,98
FFA-1,segment_unsup25d_taskonomy,0.10922949463129043,99
FFA-1,segment_semantic_taskonomy,0.098745908588171,100
FFA-1,segment_unsup2d_taskonomy,0.09705609008669853,101
