region,comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,inpainting,5,5,1,0.04186561852693558,0.047568537294864655,0.02774142975547875,0.01240634454525717
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,jigsaw,5,5,1,0.058187052793800834,0.05814426392316818,0.030903489649004773,0.013820460719427156
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints2d,5,5,1,0.039327900111675265,0.03132648766040802,0.018016689460139762,0.0080573084724753
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints3d,5,5,1,0.2232792854309082,0.21306289732456207,0.01978638975734156,0.00884874250534426
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,nonfixated_pose,5,5,1,0.019199531339108945,0.023782482370734215,0.027138485877452552,0.012136699845680386
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,normal,5,5,1,0.07106986232101917,0.0627036914229393,0.05092240986334099,0.022773194006507246
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,point_matching,5,5,1,0.04625437594950199,0.03177882730960846,0.04604373116256871,0.020591382563445813
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,random_weights,5,5,1,0.005610963189974427,-0.0025305512826889753,0.01987029334151305,0.008886265328896924
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,reshading,5,5,1,0.20590263307094575,0.19342365860939026,0.031275380632598646,0.013986775423334189
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,room_layout,5,5,1,0.14228681921958924,0.16016489267349243,0.040073000069912976,0.017921190443735847
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,segment_semantic,5,5,1,0.15583849102258682,0.1717035174369812,0.028922913692414634,0.012934720224719712
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup25d,5,5,1,0.16373800486326218,0.17351384460926056,0.03794626540040493,0.01697008578551074
l-objects,taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup2d,5,5,1,0.12442402839660645,0.11207100749015808,0.04805255031330116,0.021489753798554043
