image_id,participant_pool,union_index,image_path
shared_12rep_LAION_cluster_1255_i8.jpg,"p01,p02,p03,p04,p05",46,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1255_i8.jpg
shared_12rep_LAION_cluster_1259_i3.jpg,"p01,p02,p03,p04,p05",47,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1259_i3.jpg
shared_12rep_LAION_cluster_1262_i6.jpg,"p01,p02,p03,p04,p05",48,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1262_i6.jpg
shared_12rep_LAION_cluster_1272_i11.jpg,"p01,p02,p03,p04,p05",49,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1272_i11.jpg
shared_12rep_LAION_cluster_1277_i2.jpg,"p01,p02,p03,p04,p05",50,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1277_i2.jpg
shared_12rep_LAION_cluster_1280_i2.jpg,"p01,p02,p03,p04,p05",51,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1280_i2.jpg
shared_12rep_LAION_cluster_1300_i3.jpg,"p01,p02,p03,p04,p05",52,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1300_i3.jpg
shared_12rep_LAION_cluster_1301_i0.jpg,"p01,p02,p03,p04,p05",53,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1301_i0.jpg
shared_12rep_LAION_cluster_1305_i2.jpg,"p01,p02,p03,p04,p05",54,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1305_i2.jpg
shared_12rep_LAION_cluster_1306_i1.jpg,"p01,p02,p03,p04,p05",55,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1306_i1.jpg
