region,comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
otc-category,objects_faces_places,"Objects, Faces, Places",wrsa,imagenet,5,5,1,0.5059869408607482,0.4839516282081604,0.037471650177713145,0.01675783140529173
otc-category,objects_faces_places,"Objects, Faces, Places",wrsa,openimages,5,5,1,0.45462344884872435,0.45332062244415283,0.02965771187064678,0.013263331959973729
otc-category,objects_faces_places,"Objects, Faces, Places",wrsa,places256,5,5,1,0.43139461278915403,0.4420117437839508,0.03665937537084993,0.0163945710683804
otc-category,objects_faces_places,"Objects, Faces, Places",wrsa,vggface2,5,5,1,0.4072256624698639,0.4135286211967468,0.045689781837474665,0.02043309161314572
otc-streams,architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.29627676540985703,0.2953369617462158,0.10426943113381108,0.008117364204599456
otc-streams,architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.20981136828860533,0.20692221820354462,0.1261849448490392,0.012314389688318399
otc-streams,architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.510963475523573,0.5151669383049011,0.053734359276096155,0.004183214196163679
otc-streams,architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.5602828071230934,0.562826931476593,0.03642258279700545,0.003554480120857161
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.1392609655857086,0.13742506504058838,0.012173016828447264,0.005443938623931395
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.10866116285324097,0.1053495854139328,0.011360112476997962,0.005080396746122192
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.17513417899608613,0.172114759683609,0.016413995534853485,0.007340561959662082
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.15080317854881287,0.15759171545505524,0.014144030229352803,0.006325402613728961
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.07740630581974983,0.08479011803865433,0.04242895182428614,0.018974804098633502
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.08685257136821747,0.08561032265424728,0.014163345495596892,0.006334040663394019
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.14703538417816162,0.15255728363990784,0.016040052349736992,0.007173329483333429
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.11860154569149017,0.12151961773633957,0.013043754357331233,0.005833344284960343
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.3336493015289307,0.33392149209976196,0.040399950159908056,0.018067406969031582
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.08934815227985382,0.09332912415266037,0.013065132255371384,0.005842904771607111
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.10078655332326888,0.09851931035518646,0.01685723621523855,0.007538785218008935
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.25014744102954867,0.25442934036254883,0.04152723931441313,0.018571546004985902
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.2201492041349411,0.23145702481269836,0.027866528068336657,0.012462290211541334
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.203060781955719,0.19959136843681335,0.06971462242551231,0.031177326953835356
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.2098225474357605,0.20335295796394348,0.03560914058090202,0.015924891791848653
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.07608450353145599,0.08198291808366776,0.023020877203199893,0.01029524926560604
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.1714594304561615,0.18141236901283264,0.015649637534276683,0.006998730669974971
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.28935688734054565,0.3014512062072754,0.03931155271524073,0.01758066083446894
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.2934400200843811,0.305077463388443,0.03032873775672677,0.013563423859161107
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.1404508337378502,0.13789236545562744,0.02880089555253612,0.012880152053668426
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,-0.07211241647601127,-0.06818383932113647,0.018349902546228206,0.008206325894772548
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.10487633496522904,0.11069248616695404,0.026777202969431403,0.011975129217391568
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.14561285674571992,0.14636065065860748,0.02699883978536544,0.01207424821474059
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.2330739438533783,0.23249451816082,0.02639136495450868,0.01180257721145741
otc-streams,taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.015146520175039768,0.01702026091516018,0.0058262897227668725,0.002605595975343026
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.4418368339538574,0.43508458137512207,0.05353455332290392,0.023941380075020082
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,0.06738338395953178,0.07669412344694138,0.01918702403245228,0.008580698004497086
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.4936265468597412,0.4974066913127899,0.06043725276647692,0.027028361111835923
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.4959672689437866,0.528800904750824,0.06486135500304632,0.02900687977991153
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,-0.017151112481951714,-0.024599701166152954,0.014980915088509591,0.006699668900611944
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.454222708940506,0.46991199254989624,0.05846486749857033,0.026146283604464266
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.4541796147823334,0.45847630500793457,0.04898039755656105,0.02190469970028702
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.36522161960601807,0.34412360191345215,0.06930779557236695,0.03099538845409429
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.3763620376586914,0.38745832443237305,0.1074008304986771,0.048031111566994925
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,egomotion,5,5,1,0.43657696843147276,0.4514389634132385,0.06317289793998923,0.02825177882589447
otc-streams,taskonomy_tasks,Taskonomy Encoders,wrsa,fixated_pose,5,5,1,0.443813282251358,0.4609243869781494,0.06322002515593655,0.028272854757584173
