model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vit_base_patch32_224_classification,crsa,0.25760276317596437,0.24869993031024934,0.2665055960416794,2,Fig2 architecture,Transformer,#0072b2,45.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,vit_base_patch32_224,vit_base_patch32_224_classification,ViT-B-P32,classification,imagenet,vit_base_patch32_224,Transformer,Semantic,Transformer,,,,,,,imagenet
deit_base_patch16_224_classification,crsa,0.16095842570066451,0.14397922158241272,0.1779376298189163,2,Fig2 architecture,Transformer,#0072b2,46.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,deit_base_patch16_224,deit_base_patch16_224_classification,DeiT-B-P16-224,classification,imagenet,deit_base_patch16_224,Transformer,Semantic,Transformer,,,,,,,
vit_base_patch16_224_classification,crsa,0.16220917850732802,0.156888347864151,0.16753000915050506,2,Fig2 architecture,Transformer,#0072b2,47.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,vit_base_patch16_224,vit_base_patch16_224_classification,ViT-B-P16,classification,imagenet,vit_base_patch16_224,Transformer,Semantic,Transformer,,,,,,,imagenet
vit_large_patch16_224_classification,crsa,0.16045690178871153,0.16018449068069457,0.1607293128967285,2,Fig2 architecture,Transformer,#0072b2,48.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,vit_large_patch16_224,vit_large_patch16_224_classification,ViT-L-P16,classification,imagenet,vit_large_patch16_224,Transformer,Semantic,Transformer,,,,,,,imagenet
pit_b_224_classification,crsa,0.06314510945230722,0.05210717059671879,0.07418304830789565,2,Fig2 architecture,Transformer,#0072b2,49.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,pit_b_224,pit_b_224_classification,PiT-B-224,classification,imagenet,pit_b_224,Transformer,Semantic,Transformer,,,,,,,
pit_ti_224_classification,crsa,0.16695607751607894,0.1506338059902191,0.1832783490419388,2,Fig2 architecture,Transformer,#0072b2,50.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,pit_ti_224,pit_ti_224_classification,PiT-T-224,classification,imagenet,pit_ti_224,Transformer,Semantic,Transformer,,,,,,,
swin_base_patch4_window7_224_classification,crsa,0.14452273547649386,0.1441827178001404,0.1448627531528473,2,Fig2 architecture,Transformer,#0072b2,51.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,swin_base_patch4_window7_224,swin_base_patch4_window7_224_classification,Swin-B-P4-W7,classification,imagenet,swin_base_patch4_window7_224,Transformer,Semantic,Transformer,,,,,,,imagenet
jx_nest_tiny_classification,crsa,0.16645437628030776,0.14730218350887297,0.18560656905174255,2,Fig2 architecture,Transformer,#0072b2,52.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,jx_nest_tiny,jx_nest_tiny_classification,JX-NesT-Tiny,classification,imagenet,jx_nest_tiny,Transformer,Semantic,Transformer,,,,,,,
levit_128_classification,crsa,0.296241819858551,0.2962168574333191,0.29626678228378295,2,Fig2 architecture,Transformer,#0072b2,53.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,levit_128,levit_128_classification,LeViT128,classification,imagenet,levit_128,Transformer,Semantic,Transformer,,,,,,,
poolformer_s36_classification,crsa,0.16501382738351822,0.15900551676750183,0.1710221379995346,2,Fig2 architecture,Transformer,#0072b2,54.0,34.62,55.38,0.1822556074974792,0.16178161479355324,0.20273025647071855,poolformer_s36,poolformer_s36_classification,PoolFormer-S36,classification,imagenet,poolformer_s36,Transformer,Semantic,Transformer,,,,,,,
