combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
shared_cluster_k5_4,shared,cluster_k5_4,srpr,234,2,117,0.3121971005927011,0.3405131958858545,0.0746783384288997,0.3808587975214487
shared_cluster_k5_4,shared,cluster_k5_4,wrsa,234,2,117,0.2879058171350222,0.29704491794109344,-0.079250119626522,0.6088389158248901
shared_cluster_k5_agg,shared,cluster_k5_agg,crsa,234,2,117,0.18962481392420125,0.1839172318577766,-0.0034849192015826,0.4155748307704925
shared_cluster_k5_agg,shared,cluster_k5_agg,srpr,234,2,117,0.31002011036577853,0.3440987750709893,0.0826823706385758,0.3923386628901017
shared_cluster_k5_agg,shared,cluster_k5_agg,wrsa,234,2,117,0.35233574709536614,0.38405588269233704,-0.0433532498776912,0.498103928565979
shared_ood,shared,ood,crsa,234,2,117,0.12582481504093584,0.11702406406402585,-0.1772563159465789,0.5266377925872803
shared_ood,shared,ood,srpr,234,2,117,0.3218328875831232,0.3403499486128617,-0.0371809361144404,0.4152661043578196
shared_ood,shared,ood,wrsa,234,2,117,0.27134072231765616,0.2732340395450592,-0.0358069501817226,0.5349562168121338
shared_random_0,shared,random_0,crsa,234,2,117,0.19545411689676598,0.19297184795141215,-0.0332458540797233,0.4502349495887756
shared_random_0,shared,random_0,srpr,234,2,117,0.4024765070330706,0.44235899359237796,0.1117687999104981,0.4925863246534948
shared_random_0,shared,random_0,wrsa,234,2,117,0.4166832620389441,0.4499857723712921,-0.0165856499224901,0.6011289358139038
shared_random_1,shared,random_1,crsa,234,2,117,0.20205882095341754,0.193499207496643,-0.0504255145788192,0.4411913752555847
shared_random_1,shared,random_1,srpr,234,2,117,0.4006074506170843,0.43801277556827245,0.1131910072810894,0.5013700459514406
shared_random_1,shared,random_1,wrsa,234,2,117,0.4695581841664628,0.5177502930164337,-0.0349837616086006,0.6513460874557495
shared_random_2,shared,random_2,crsa,234,2,117,0.20166307472838804,0.19612946361303324,-0.0662663355469703,0.3969396650791168
shared_random_2,shared,random_2,srpr,234,2,117,0.39431004583779206,0.4257709633119189,0.1265073905735206,0.4968548136905403
