subject,model,eval_type,region,model_layer,model_layer_index,score,train_score,max_model_layer_index,selected_layer_fraction,model_source,comparison_group,result_model,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
sub-06,tnt_s_patch16_224_classification,crsa,otc,Dropout-54,7,0.1311409473419189,0.2627542316913605,81,0.0864197530864197,timm,arch_transformer_in1k,tnt_s_patch16_224_classification,tnt_s_patch16_224,tnt_s_patch16_224_classification,TnT-P16-224,classification,imagenet,tnt_s_patch16_224,Transformer,Semantic,Transformer,,,,,,,,
sub-06,tnt_s_patch16_224_classification,wrsa,otc,GELU-14,11,0.4243161678314209,0.292981207370758,81,0.1358024691358024,timm,arch_transformer_in1k,tnt_s_patch16_224_classification,tnt_s_patch16_224,tnt_s_patch16_224_classification,TnT-P16-224,classification,imagenet,tnt_s_patch16_224,Transformer,Semantic,Transformer,,,,,,,,
sub-06,vanishing_point_taskonomy,crsa,otc,Conv2d-37,27,0.0369814895093441,0.0369641408324241,80,0.3375,,,vanishing_point_taskonomy,vanishing_point,vanishing_point_taskonomy,Vanishing Point,taskonomy,taskonomy,resnet50,Convolutional,Geometric,,,vanishing_point,Geometric,,,,,
sub-06,vanishing_point_taskonomy,wrsa,otc,ReLU-42,53,0.0301702190190553,0.0607724376022815,80,0.6625,,,vanishing_point_taskonomy,vanishing_point,vanishing_point_taskonomy,Vanishing Point,taskonomy,taskonomy,resnet50,Convolutional,Geometric,,,vanishing_point,Geometric,,,,,
sub-06,vgg16_classification,crsa,otc,Conv2d-11,6,0.2538255155086517,0.298876017332077,17,0.3529411764705882,,,vgg16_classification,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,,
sub-06,vgg16_classification,wrsa,otc,Conv2d-12,8,0.3976644575595855,0.2787958085536957,17,0.4705882352941176,,,vgg16_classification,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,,
sub-06,visformer_small_classification,crsa,otc,Conv2d-34,11,0.1962416172027588,0.2278366535902023,67,0.1641791044776119,timm,arch_transformer_in1k,visformer_small_classification,visformer_small,visformer_small_classification,Visformer,classification,imagenet,visformer_small,Transformer,Semantic,Transformer,,,,,,,,
sub-06,visformer_small_classification,wrsa,otc,BatchNorm2d-21,33,0.5145504474639893,0.2922340035438537,67,0.4925373134328358,timm,arch_transformer_in1k,visformer_small_classification,visformer_small,visformer_small_classification,Visformer,classification,imagenet,visformer_small,Transformer,Semantic,Transformer,,,,,,,,
sub-06,vit_base_patch16_224_classification,crsa,otc,GELU-12,63,0.1775114983320236,0.2096892744302749,68,0.9264705882352942,timm,input_in1k_vs_in21k,vit_base_patch16_224_classification,vit_base_patch16_224,vit_base_patch16_224_classification,ViT-B-P16,classification,imagenet,vit_base_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_base_patch16_224_classification,wrsa,otc,GELU-8,19,0.4880161583423614,0.2985526323318481,68,0.2794117647058823,timm,input_in1k_vs_in21k,vit_base_patch16_224_classification,vit_base_patch16_224,vit_base_patch16_224_classification,ViT-B-P16,classification,imagenet,vit_base_patch16_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
