combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
shared_random_0,shared,random_0,wrsa,585,5,117,0.3650043352252334,0.3864290416240692,-0.0809826552867889,0.6011289358139038
shared_random_1,shared,random_1,crsa,585,5,117,0.18661494556233352,0.1807478815317154,-0.0775676816701889,0.443758875131607
shared_random_1,shared,random_1,srpr,585,5,117,0.3958581150416831,0.4343541372472558,0.1083829573548787,0.5013700459514406
shared_random_1,shared,random_1,wrsa,585,5,117,0.42396831300475785,0.4654657244682312,-0.0566193051636219,0.6513460874557495
shared_random_2,shared,random_2,crsa,585,5,117,0.18474419120396687,0.181327074766159,-0.0662663355469703,0.3969396650791168
shared_random_2,shared,random_2,srpr,585,5,117,0.3912342491927085,0.4288779666755601,0.1067876680414336,0.4968548136905403
shared_random_2,shared,random_2,wrsa,585,5,117,0.44179930749834856,0.5045594573020935,-0.0876664221286773,0.6274609565734863
shared_random_3,shared,random_3,crsa,585,5,117,0.19212015780439187,0.1948412358760833,-0.0397578328847885,0.4375832676887512
shared_random_3,shared,random_3,srpr,585,5,117,0.4116211867979655,0.4514411438773189,0.1167006763114572,0.5205645946575648
shared_random_3,shared,random_3,wrsa,585,5,117,0.44897289858000655,0.5045495629310608,-0.0692594423890113,0.6419999599456787
shared_random_4,shared,random_4,crsa,585,5,117,0.18664106006851483,0.1892499476671219,-0.0690556541085243,0.4547878503799438
shared_random_4,shared,random_4,srpr,585,5,117,0.39140015382547344,0.4298725192027197,0.0980945734746902,0.4949858648669086
shared_random_4,shared,random_4,wrsa,585,5,117,0.4273261662692023,0.486045777797699,-0.0655937120318412,0.6610058546066284
shared_random_agg,shared,random_agg,crsa,585,5,117,0.1917167611596071,0.1855253472924232,0.0102859005331993,0.4119681179523468
shared_random_agg,shared,random_agg,srpr,585,5,117,0.39864698415559935,0.4373294148523824,0.1107730407331857,0.4988115765842201
shared_random_agg,shared,random_agg,wrsa,585,5,117,0.4226276230277657,0.4713343560695648,-0.0544770706444978,0.6205899596214295
shared_tau,shared,tau,crsa,585,5,117,0.17186605902498142,0.1735465973615646,-0.0777863711118698,0.3880781233310699
shared_tau,shared,tau,srpr,585,5,117,0.38444130870978227,0.4214526446004969,0.0971245838625432,0.4876024380398096
shared_tau,shared,tau,wrsa,585,5,117,0.3857959368272135,0.4050579965114593,-0.0504940189421176,0.6449310779571533
subject_cluster_k5_0,subject,cluster_k5_0,crsa,585,5,117,0.17106285038101685,0.1727132201194763,-0.0615705139935016,0.3904034495353699
subject_cluster_k5_0,subject,cluster_k5_0,srpr,585,5,117,0.2931184262560074,0.3234522141117862,0.0854962920145092,0.3741972926191521
subject_cluster_k5_0,subject,cluster_k5_0,wrsa,585,5,117,0.34135892674303014,0.3759347796440124,-0.0783183351159095,0.5139577388763428
subject_cluster_k5_1,subject,cluster_k5_1,crsa,585,5,117,0.15825066357616208,0.1519633680582046,-0.1460912674665451,0.4089735746383667
subject_cluster_k5_1,subject,cluster_k5_1,srpr,585,5,117,0.2885153169060337,0.3083262645603621,0.0295716983144513,0.3874968883549611
subject_cluster_k5_1,subject,cluster_k5_1,wrsa,585,5,117,0.33156262340987275,0.3393730819225311,-0.0454344302415847,0.5554530620574951
subject_cluster_k5_2,subject,cluster_k5_2,crsa,585,5,117,0.166312787007629,0.1646359115839004,-0.0225547775626182,0.3865005075931549
subject_cluster_k5_2,subject,cluster_k5_2,srpr,585,5,117,0.30705372404068193,0.3359184173864232,0.0815164311532654,0.4009094462327233
subject_cluster_k5_2,subject,cluster_k5_2,wrsa,585,5,117,0.35580479540766624,0.3738837838172912,-0.0862606912851333,0.5691506266593933
subject_cluster_k5_3,subject,cluster_k5_3,crsa,585,5,117,0.1634780302014934,0.1581484526395797,-0.0680537447333335,0.367654412984848
subject_cluster_k5_3,subject,cluster_k5_3,srpr,585,5,117,0.2974733099935321,0.3254084221791885,0.0809814712498306,0.3767240618724471
subject_cluster_k5_3,subject,cluster_k5_3,wrsa,585,5,117,0.35055324217169265,0.3633738458156585,-0.0402766950428485,0.5310385227203369
subject_cluster_k5_4,subject,cluster_k5_4,crsa,585,5,117,0.1567601065983215,0.1563551127910614,-0.0977319628000259,0.3542293012142181
subject_cluster_k5_4,subject,cluster_k5_4,srpr,585,5,117,0.28669335492547376,0.3140145223646182,0.0691691924848225,0.369004792897469
subject_cluster_k5_4,subject,cluster_k5_4,wrsa,585,5,117,0.32327082415994923,0.3484947979450226,-0.0511863641440868,0.494999498128891
subject_cluster_k5_agg,subject,cluster_k5_agg,crsa,585,5,117,0.16924434204821165,0.1675477534532547,0.0031011768151074,0.3420799076557159
subject_cluster_k5_agg,subject,cluster_k5_agg,srpr,585,5,117,0.2952384397045629,0.3249170600239459,0.0824173769704792,0.3762519926262117
subject_cluster_k5_agg,subject,cluster_k5_agg,wrsa,585,5,117,0.34355318562442066,0.3564730405807495,-0.0184900738298893,0.5220395743846893
subject_ood,subject,ood,crsa,585,5,117,0.07278343635993317,0.0628974065184593,-0.3285084962844848,0.6390960216522217
subject_ood,subject,ood,srpr,585,5,117,0.34336367332416334,0.3657615045351487,-0.0578587271990131,0.4325389225882478
subject_ood,subject,ood,wrsa,585,5,117,0.2298905846567299,0.2312568426132202,-0.0180297549813985,0.6199259161949158
subject_random_0,subject,random_0,crsa,585,5,117,0.1780615068367149,0.1762269288301468,0.0119485035538673,0.3717244565486908
subject_random_0,subject,random_0,srpr,585,5,117,0.36687876583694545,0.3983771108255856,0.1317562715407447,0.4498955699589239
subject_random_0,subject,random_0,wrsa,585,5,117,0.4243699524169549,0.4439775347709656,-0.0118960989639163,0.645926296710968
subject_random_1,subject,random_1,crsa,585,5,117,0.16661928667026196,0.1639273017644882,0.0119975600391626,0.329055517911911
