option_key,model_name,train_type,train_data,model_source
faster_rcnn_R_101_DC5_3x_detection,faster_rcnn_R_101_DC5_3x,detection,coco2017,detectron
faster_rcnn_R_101_FPN_3x_detection,faster_rcnn_R_101_FPN_3x,detection,coco2017,detectron
faster_rcnn_X_101_32x8d_FPN_3x_detection,faster_rcnn_X_101_32x8d_FPN_3x,detection,coco2017,detectron
retinanet_R_50_FPN_3x_detection,retinanet_R_50_FPN_3x,detection,coco2017,detectron
retinanet_R_101_FPN_3x_detection,retinanet_R_101_FPN_3x,detection,coco2017,detectron
mask_rcnn_R_50_C4_3x_segmentation,mask_rcnn_R_50_C4_3x,segmentation,coco2017,detectron
mask_rcnn_R_50_DC5_3x_segmentation,mask_rcnn_R_50_DC5_3x,segmentation,coco2017,detectron
mask_rcnn_R_50_FPN_3x_segmentation,mask_rcnn_R_50_FPN_3x,segmentation,coco2017,detectron
mask_rcnn_R_101_C4_3x_segmentation,mask_rcnn_R_101_C4_3x,segmentation,coco2017,detectron
mask_rcnn_R_101_DC5_3x_segmentation,mask_rcnn_R_101_DC5_3x,segmentation,coco2017,detectron
mask_rcnn_R_101_FPN_3x_segmentation,mask_rcnn_R_101_FPN_3x,segmentation,coco2017,detectron
mask_rcnn_X_101_32x8d_FPN_3x_segmentation,mask_rcnn_X_101_32x8d_FPN_3x,segmentation,coco2017,detectron
keypoint_rcnn_R_50_FPN_3x_segmentation,keypoint_rcnn_R_50_FPN_3x,segmentation,coco2017,detectron
panoptic_fpn_R_50_3x_panoptics,panoptic_fpn_R_50_3x,panoptics,coco2017,detectron
mask_rcnn_R_50_FPN_1x_segmentation,mask_rcnn_R_50_FPN_1x,segmentation,LVIS,detectron
mask_rcnn_R_101_FPN_1x_segmentation,mask_rcnn_R_101_FPN_1x,segmentation,LVIS,detectron
mask_rcnn_X_101_32x8d_FPN_1x_segmentation,mask_rcnn_X_101_32x8d_FPN_1x,segmentation,LVIS,detectron
ViT-S-SimCLR_slip,ViT-S-SimCLR,slip,YFCC15M,slip
ViT-S-CLIP_slip,ViT-S-CLIP,slip,YFCC15M,slip
ViT-S-SLIP_slip,ViT-S-SLIP,slip,YFCC15M,slip
ViT-S-SLIP-Ep100_slip,ViT-S-SLIP-Ep100,slip,YFCC15M,slip
ViT-B-SimCLR_slip,ViT-B-SimCLR,slip,YFCC15M,slip
ViT-B-CLIP_slip,ViT-B-CLIP,slip,YFCC15M,slip
ViT-B-SLIP_slip,ViT-B-SLIP,slip,YFCC15M,slip
ViT-B-SLIP-Ep100_slip,ViT-B-SLIP-Ep100,slip,YFCC15M,slip
ViT-L-SimCLR_slip,ViT-L-SimCLR,slip,YFCC15M,slip
ViT-L-CLIP_slip,ViT-L-CLIP,slip,YFCC15M,slip
ViT-L-SLIP_slip,ViT-L-SLIP,slip,YFCC15M,slip
ViT-L-SLIP-Ep100_slip,ViT-L-SLIP-Ep100,slip,YFCC15M,slip
ViT-L-CLIP-CC12M_slip,ViT-L-CLIP-CC12M,slip,YFCC15M,slip
ViT-L-SLIP-CC12M_slip,ViT-L-SLIP-CC12M,slip,YFCC15M,slip
RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER,seer,custom,seer
RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT,seer,custom,seer
RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER,seer,custom,seer
RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT,seer,custom,seer
RegNet-128Gf-SEER_seer,RegNet-128Gf-SEER,seer,custom,seer
RegNet-128Gf-SEER-INFT_seer,RegNet-128Gf-SEER-INFT,seer,custom,seer
RegNet-256Gf-SEER_seer,RegNet-256Gf-SEER,seer,custom,seer
RegNet-256Gf-SEER-INFT_seer,RegNet-256Gf-SEER-INFT,seer,custom,seer
alexnet_gn_ipcl_imagenet,alexnet_gn_ipcl_imagenet,ipcl,imagenet,ipcl
alexnet_gn_ipcl_openimages,alexnet_gn_ipcl_openimages,ipcl,openimages,ipcl
alexnet_gn_ipcl_places256,alexnet_gn_ipcl_places256,ipcl,places256,ipcl
alexnet_gn_ipcl_vggface2,alexnet_gn_ipcl_vggface2,ipcl,vggface2,ipcl
vqgan_imagenet_f16_16384_generative,vqgan_imagenet_f16_16384,generative,imagenet,vqgan
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Vehicle_bit_expert,BiT-Expert-ResNet-V2-Vehicle,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Relation_bit_expert,BiT-Expert-ResNet-V2-Relation,bit_expert,imagenet21k,bit_expert
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,imagenet21k,bit_expert
resnet50_vicreg_selfsupervised,resnet50_vicreg,selfsupervised,imagenet,vicreg
resnet50x2_vicreg_selfsupervised,resnet50x2_vicreg,selfsupervised,imagenet,vicreg
openclip_vit_so400m_14_siglip_webli,ViT-SO400M-14-SigLIP,openclip,webli,openclip
openclip_vit_l_14_quickgelu_metaclip_400m,ViT-L-14-400M,openclip,metaclip_400m,openclip
openclip_vit_l_14_quickgelu_metaclip_fullcc,ViT-L-14-fullCC,openclip,metaclip_fullcc,openclip
openclip_vit_l_14_laion400m_e31,ViT-L-14,openclip,laion400m,openclip
cornet_s,cornet_s,cornet,imagenet,cornet
robustness_imagenet_l2_eps3,imagenet_l2_eps3,robustness,imagenet,robustness
dinov2_vitl14,vitl14,selfsupervised,imagenet,dinov2
