model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
openclip_eva02_l_14_merged2b_s4b_b131k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_vit_b_16_commonpool_l_clip_s1b_b8k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_b_16_datacomp_xl_s13b_b90k,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_b_16_laion2b_s34b_b88k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_b_16_laion400m_e32,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_vit_b_32_commonpool_m_clip_s128m_b4k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_b_32_commonpool_s_clip_s13m_b4k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_bigg_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_bigg_14_laion2b_s39b_b160k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_g_14_laion2b_s34b_b88k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_h_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_h_14_laion2b_s32b_b79k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_h_14_quickgelu_metaclip_fullcc,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_l_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_l_14_commonpool_xl_clip_s13b_b90k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_l_14_datacomp_xl_s13b_b90k,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_l_14_laion2b_s32b_b82k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_l_14_laion400m_e31,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_vit_l_14_laion400m_e32,Transformer,clip,laion400m,openclip,Vision-Language,other
