feature_stem,deepnsd_model_string,model,metric,subj_id,n_colin_layers,n_our_layers_matching_colin,full_train_selected_layer,full_train_selected_layer_depth,full_train_selected_train,full_train_selected_test,our_train_selected_layer,our_train_selected_layer_depth,our_train_selected_train,our_train_selected_test,test_gap_full_minus_our,same_layer,our_layer_test_rank_among_colin_layers,our_layer_test_percentile_among_colin_layers,colin_test_min,colin_test_median,colin_test_max
cspresnet50_classification,cspresnet50_classification,cspresnet50,wrsa,2,80,11,Conv2d-49,0.8541033434650456,0.7448304359419115,0.6967714012699091,Conv2d-52,0.9088145896656536,0.7428819928111579,0.7111503478331026,-0.014378946563193495,False,1,100.0,0.4271820559691032,0.5985657990455947,0.7111503478331026
cspresnet50_classification,cspresnet50_classification,cspresnet50,wrsa,5,82,12,Conv2d-49,0.8541033434650456,0.7317495445546492,0.7276816564741694,Conv2d-52,0.9088145896656536,0.718399194828606,0.7399719754086929,-0.012290318934523481,False,1,100.0,0.4357158716510335,0.6059837494508488,0.7399719754086929
cspresnet50_classification,cspresnet50_classification,cspresnet50,wrsa,7,82,12,Conv2d-49,0.8541033434650456,0.6268729177610668,0.6174119452560906,Conv2d-52,0.9088145896656536,0.6258237115402586,0.6198434559229732,-0.0024315106668826303,False,1,100.0,0.38698842875549055,0.5209202397245684,0.6198434559229732
curvature_taskonomy,curvature_taskonomy,curvature,crsa,1,81,11,BatchNorm2d-44,0.8044692737430168,0.12235952063524082,0.12871008200741088,BatchNorm2d-41,0.7486033519553073,0.12021655445529815,0.12189305120137425,0.006817030806036628,False,4,96.29629629629629,0.015081748429050072,0.10199092903542616,0.12871008200741088
curvature_taskonomy,curvature_taskonomy,curvature,crsa,2,81,11,BatchNorm2d-44,0.8044692737430168,0.14783925792161476,0.13849225400295997,BatchNorm2d-41,0.7486033519553073,0.14624084842620394,0.1330116178393923,0.00548063616356767,False,3,97.53086419753086,0.023279431177381973,0.10755586722245275,0.13849225400295997
curvature_taskonomy,curvature_taskonomy,curvature,crsa,5,81,11,BatchNorm2d-41,0.7486033519553073,0.131924987629235,0.13015247862180615,BatchNorm2d-41,0.7486033519553073,0.131924987629235,0.13015247862180615,0.0,True,6,93.82716049382715,0.014878266018230344,0.10495209889199492,0.13753249602947754
curvature_taskonomy,curvature_taskonomy,curvature,crsa,7,81,11,BatchNorm2d-41,0.7486033519553073,0.12281108137824183,0.13030053784943263,BatchNorm2d-41,0.7486033519553073,0.12281108137824183,0.13030053784943263,0.0,True,4,96.29629629629629,0.023539379390676986,0.10781561766644494,0.136691732245385
curvature_taskonomy,curvature_taskonomy,curvature,srpr,1,81,11,Conv2d-28,0.4972067039106145,0.19771565004595898,0.2098458886864393,Conv2d-28,0.4972067039106145,0.19771565004595898,0.2098458886864393,0.0,True,1,100.0,0.010921119406394154,0.08723751178787532,0.2098458886864393
curvature_taskonomy,curvature_taskonomy,curvature,srpr,2,81,11,Conv2d-28,0.4972067039106145,0.24095985339868808,0.23748411047744958,Conv2d-28,0.4972067039106145,0.24095985339868808,0.23748411047744958,0.0,True,2,98.76543209876543,0.014060456744860613,0.11438720878800902,0.23756207228819087
curvature_taskonomy,curvature_taskonomy,curvature,srpr,5,81,11,Conv2d-29,0.5195530726256983,0.23951440961611414,0.2326515445345295,Conv2d-28,0.4972067039106145,0.23908640319751556,0.24625367003808254,-0.013602125503553053,False,1,100.0,0.012592910656386251,0.11096844133442813,0.24625367003808254
curvature_taskonomy,curvature_taskonomy,curvature,srpr,7,81,11,Conv2d-29,0.5195530726256983,0.19685232102832764,0.1858071199903909,Conv2d-28,0.4972067039106145,0.18767474933914355,0.20226848748818882,-0.01646136749779792,False,2,98.76543209876543,0.023295659829610876,0.08856210055039991,0.20226902409275843
curvature_taskonomy,curvature_taskonomy,curvature,wrsa,1,81,11,ReLU-43,0.8547486033519553,0.3702680015490078,0.30453967153198075,BatchNorm2d-41,0.7486033519553073,0.3485995368121841,0.2968822758711463,0.007657395660834454,False,31,62.96296296296296,0.10639608708568413,0.29018351549453314,0.3281515867127777
curvature_taskonomy,curvature_taskonomy,curvature,wrsa,2,68,10,BatchNorm2d-48,0.8715083798882681,0.41945031755869194,0.3443055358874585,BatchNorm2d-41,0.7486033519553073,0.4098009402620132,0.32328913068666515,0.021016405200793342,False,14,80.88235294117648,0.1355247813750714,0.31103275929438046,0.34805438812744166
curvature_taskonomy,curvature_taskonomy,curvature,wrsa,5,80,11,ReLU-42,0.8268156424581006,0.41491513765971555,0.3301253410744568,Conv2d-44,0.7988826815642458,0.38630340330920626,0.31568270006201316,0.014442641012443636,False,40,51.24999999999999,0.1340690819570166,0.3156520842040488,0.3553908429560707
curvature_taskonomy,curvature_taskonomy,curvature,wrsa,7,81,11,ReLU-43,0.8547486033519553,0.3461430854836043,0.3016000891065874,Conv2d-44,0.7988826815642458,0.32039695345852925,0.28687222912920757,0.014727859977379854,False,23,72.8395061728395,0.09680568873355931,0.27717303891755846,0.31662785290768625
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,crsa,1,57,11,Linear-30,0.5955555555555555,0.3105239427021179,0.30844852680714896,Linear-30,0.5955555555555555,0.3105239427021179,0.30844852680714896,0.0,True,1,100.0,0.02017046888603195,0.2085340054875993,0.30844852680714896
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224,crsa,2,57,11,Linear-30,0.5955555555555555,0.31969143702507835,0.3123071432155501,Linear-30,0.5955555555555555,0.31969143702507835,0.3123071432155501,0.0,True,1,100.0,0.015963056072791092,0.20293020709215367,0.3123071432155501
