split,family,effect,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
cluster_k5_agg,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001",,,"+0.032 [+0.022, +0.042], p <0.001","+0.021 [+0.011, +0.030], p <0.001"
cluster_k5_agg,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,,"+0.087 [+0.064, +0.110], p <0.001","+0.076 [+0.059, +0.093], p <0.001"
cluster_k5_agg,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,,"+0.086 [+0.069, +0.104], p <0.001","+0.056 [+0.042, +0.070], p <0.001"
cluster_k5_agg,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,,"-0.077 [-0.111, -0.043], p <0.001","-0.083 [-0.112, -0.055], p <0.001"
cluster_k5_agg,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,,"-0.040 [-0.056, -0.024], p <0.001","-0.022 [-0.035, -0.008], p 0.003"
cluster_k5_agg,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,,"+0.005 [-0.029, +0.040], p 0.748","-0.004 [-0.033, +0.025], p 0.795"
cluster_k5_agg,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,,,"-0.021 [-0.036, -0.005], p 0.013","-0.001 [-0.014, +0.013], p 0.927"
cluster_k5_agg,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957",,,"+0.003 [-0.004, +0.010], p 0.452","-0.000 [-0.008, +0.008], p 0.999"
cluster_k5_agg,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147",,,"-0.011 [-0.021, -0.000], p 0.045","-0.016 [-0.025, -0.007], p <0.001"
cluster_k5_agg,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002",,,"-0.013 [-0.037, +0.012], p 0.277","-0.021 [-0.035, -0.008], p 0.005"
cluster_k5_agg,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001",,,"+0.000 [-0.040, +0.041], p 0.989","-0.022 [-0.038, -0.005], p 0.014"
cluster_k5_agg,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001",,,"-0.057 [-0.082, -0.033], p <0.001","-0.062 [-0.076, -0.048], p <0.001"
cluster_k5_agg,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001",,,"-0.050 [-0.091, -0.010], p 0.019","-0.053 [-0.069, -0.036], p <0.001"
cluster_k5_agg,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001",,,"+0.023 [-0.001, +0.047], p 0.060","+0.007 [-0.007, +0.020], p 0.310"
cluster_k5_agg,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001",,,"-0.004 [-0.045, +0.036], p 0.825","-0.060 [-0.076, -0.043], p <0.001"
