feature_stem,deepnsd_model_string,model,metric,n_colin_layers,n_our_layers_matching_colin,colin_min_test,colin_median_test,colin_max_test,colin_range_test,colin_iqr_test,colin_best_layer,colin_best_layer_depth,our_best_matching_layer,our_best_matching_layer_depth,our_best_matching_test,our_worst_matching_test,our_gap_from_colin_best,our_best_rank_among_colin_layers,our_best_percentile_among_colin_layers,our_covers_colin_best_layer
tnt_s_patch16_224_classification,tnt_s_patch16_224_classification,tnt_s_patch16_224,crsa,70,8,0.014711225383095808,0.2186343299395319,0.3056037137348007,0.2908924883517049,0.12240916678148686,LayerNorm-47,,Linear-76,,0.2804338325011645,0.03392559867335271,0.025169881233636227,9,88.57142857142857,False
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k,crsa,57,11,0.008834688351501984,0.19610088257962177,0.30184389413596413,0.29300920578446216,0.12372761677071564,LayerNorm-24,0.9377777777777778,LayerNorm-22,0.8577777777777778,0.27838243558346354,0.13134583620469528,0.02346145855250059,2,98.24561403508771,False
mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification,mixer_b16_224_in21k,crsa,62,12,0.020384513360919294,0.08287903206395275,0.2686495253344601,0.24826501197354084,0.08404443475892398,LayerNorm-18,0.7047619047619048,Linear-49,0.9952380952380953,0.24752215161680893,0.03371527698348564,0.021127373717651193,3,96.7741935483871,False
resnet101_classification,resnet101_classification,resnet101,crsa,156,12,0.1149893288284494,0.19685015769645672,0.3425518518067811,0.2275625229783317,0.07123566254468194,BatchNorm2d-100,0.9478260869565216,ReLU-94,0.9304347826086956,0.32154332874667696,0.13271079749491232,0.021008523060104145,5,97.43589743589743,False
coat_lite_tiny_classification,coat_lite_tiny_classification,coat_lite_tiny,crsa,61,11,0.0365271986620008,0.2115906244404201,0.3229031240634886,0.2863759254014878,0.06421154263832046,LayerNorm-18,0.8422939068100358,Conv2d-83,0.7956989247311828,0.3022175460482921,0.14812634052745036,0.020685578015196493,3,96.72131147540983,False
vit_large_patch16_224_classification,vit_large_patch16_224_classification,vit_large_patch16_224,crsa,111,12,0.016442461223061686,0.22335207254475054,0.3218438073896247,0.305401346166563,0.1828095672203916,Identity-98,0.9931972789115646,LayerNorm-43,0.8684807256235828,0.3013396523336456,0.05736283701487546,0.02050415505597908,6,95.4954954954955,False
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,crsa,79,13,0.11914834109193666,0.21781962031829896,0.3730859105139223,0.25393756942198564,0.1401894679699205,Conv2d-52,0.9485714285714286,BatchNorm2d-51,0.9371428571428572,0.3527851696094331,0.15399826307475933,0.02030074090448919,3,97.46835443037975,False
class_scene_taskonomy,class_scene_taskonomy,class_scene,crsa,81,11,0.0645037963016619,0.14816804649470147,0.1782456931292868,0.11374189682762488,0.013892831475692397,BatchNorm2d-45,0.8212290502793296,Conv2d-47,0.8435754189944135,0.15836912922618568,0.11647481732872828,0.019876563903101108,11,87.65432098765432,False
ViT-B-CLIP_slip,ViT-B-CLIP_slip,ViT-B-CLIP,crsa,57,13,0.06040230639351388,0.22198579817362157,0.2942066790384775,0.23380437264496365,0.07845211658986972,Linear-26,0.5155555555555555,Linear-35,0.7022222222222222,0.2756595581043832,0.10458606970330997,0.01854712093409433,4,94.73684210526315,False
segment_unsup25d_taskonomy,segment_unsup25d_taskonomy,segment_unsup25d,crsa,81,11,0.062160281257427244,0.140027806466115,0.17107190357516952,0.10891162231774228,0.02726146011475898,Conv2d-39,0.7039106145251397,ReLU-35,0.6983240223463687,0.15333169261482751,0.07914208308578966,0.017740210960342007,6,93.82716049382715,False
shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0,crsa,84,12,0.11081189526633985,0.22657620618119254,0.36653031231575317,0.25571841704941334,0.1416598191995138,BatchNorm2d-52,0.9047619047619048,Conv2d-48,0.8333333333333334,0.3488921811408422,0.16255156548038188,0.017638131174910976,5,95.23809523809523,False
xception_classification,xception_classification,xception,crsa,84,12,0.12389116675234603,0.24523832982773136,0.33247962083978905,0.20858845408744303,0.09669140786030053,BatchNorm2d-33,0.803921568627451,ReLU-27,0.7303921568627451,0.3163088277951185,0.1404352245478315,0.01617079304467056,3,97.61904761904762,False
swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224,crsa,91,11,0.022399749672218357,0.20428723587731826,0.3041071319247076,0.28170738225248926,0.16124853000078065,DropPath-29,,DropPath-31,,0.28796019192784666,0.03500329096574876,0.016146939996860954,5,95.6043956043956,False
vit_small_patch16_224_classification,vit_small_patch16_224_classification,vit_small_patch16_224,crsa,57,11,0.02130921776812181,0.22860716025000188,0.31339248519144325,0.2920832674233214,0.09916831707434498,Identity-50,0.9866666666666668,LayerNorm-22,0.8577777777777778,0.29786547469982,0.043974136918505845,0.01552701049162325,4,94.73684210526315,False
mixer_l16_224_classification,mixer_l16_224_classification,mixer_l16_224,crsa,122,11,0.04342020442190689,0.23956463969879832,0.3508279976026393,0.3074077931807324,0.066213400105293,Linear-79,0.8115942028985508,Linear-83,0.8526570048309179,0.33610602506707277,0.09434662345628833,0.014721972535566508,3,98.36065573770492,False
vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k,crsa,111,12,0.007632586117236458,0.22010381028978912,0.31947631783712305,0.3118437317198866,0.19914573524098111,Identity-98,0.9931972789115646,LayerNorm-43,0.8684807256235828,0.30494859511320255,0.059923187413941904,0.0145277227239205,5,96.3963963963964,False
vanishing_point_taskonomy,vanishing_point_taskonomy,vanishing_point,crsa,81,11,0.010382211537911676,0.052405029443960374,0.0886127955721864,0.07823058403427473,0.021067725972164622,ReLU-28,0.5642458100558659,Conv2d-28,0.4972067039106145,0.07423286977905529,0.020381575728936542,0.014379925793131118,10,88.88888888888889,False
room_layout_taskonomy,room_layout_taskonomy,room_layout,crsa,81,11,0.030257596331109304,0.1111625648881823,0.13661004860288192,0.10635245227177262,0.02900395188834054,BatchNorm2d-45,0.8212290502793296,ReLU-27,0.547486033519553,0.12320821122690545,0.04879478108764482,0.013401837375976472,17,80.24691358024691,False
