analysis,region,eval_type,cnn_mean,transformer_mean,mean_diff_transformer_minus_cnn,cnn_median,transformer_median,beta,ci_lo,ci_hi,p_value,n_obs,n_subjects,n_models
ood,VWFA-1,crsa,0.210942805885817,0.1501391050250579,-0.06080370086075909,0.2090984731912613,0.1375808864831924,-0.0608037008607591,-0.0817159005376966,-0.0398915011838215,2.806208880974745e-08,270,5,54
ood,VWFA-1,wrsa,0.3784918822122343,0.3986470937728882,0.02015521156065392,0.3771694302558899,0.3931194543838501,0.0201552115606537,0.0117052184356854,0.0286052046856221,4.259881798411725e-06,270,5,54
ood,VWFA-2,crsa,0.1137418671595779,0.0841493879866209,-0.029592479172957,0.1091269552707672,0.0803925171494484,-0.0295924791729569,-0.0404028374672704,-0.0187821208786434,1.563020780224968e-07,270,5,54
ood,VWFA-2,wrsa,0.2255271768028086,0.2227085119911602,-0.002818664811648386,0.2120276093482971,0.217851459980011,-0.0028186648116483,-0.0108832655754958,0.0052459359521991,0.4919415482812698,270,5,54
ood,l-objects,crsa,0.2233095190628911,0.1597420836266662,-0.0635674354362249,0.2276531904935836,0.1475972384214401,-0.0635674354362249,-0.0808391012823452,-0.0462957695901045,4.704265867913064e-12,270,5,54
ood,l-objects,wrsa,0.448101399342219,0.4674768677779606,0.019375468435741616,0.4436577260494232,0.4601926505565643,0.0193754684357415,0.010450631822587,0.0283003050488959,2.6770573302623297e-05,270,5,54
ood,laion-lateral,crsa,0.2547015974192287,0.1818378384247244,-0.07286375899450431,0.2561937868595123,0.1634856462478637,-0.0728637589945042,-0.0969904705416959,-0.0487370474473125,8.654443751999341e-09,270,5,54
ood,laion-lateral,wrsa,0.4213722563151157,0.4792389216877165,0.05786666537260077,0.4234186112880707,0.4799872040748596,0.0578666653726006,0.046346041214832,0.0693872895303693,7.988000598475611e-20,270,5,54
ood,laion-ventral,crsa,0.3062610361047766,0.2123828688428537,-0.09387816726192291,0.3032337129116058,0.2049077898263931,-0.0938781672619229,-0.1236911442120086,-0.0640651903118371,2.1629066791258877e-09,270,5,54
ood,laion-ventral,wrsa,0.5596375488873684,0.5931502790678115,0.033512730180443095,0.5606922507286072,0.5866981744766235,0.0335127301804429,0.0242558523609799,0.0427696079999059,9.713202740912512e-12,270,5,54
ood,mfs-words,crsa,0.1567243977730289,0.1055059826176147,-0.05121841515541421,0.1535636559128761,0.0844050496816635,-0.0512184151554141,-0.070835835857634,-0.0316009944531943,6.05454381991408e-07,216,4,54
ood,mfs-words,wrsa,0.2920157771670457,0.3145409696513698,0.022525192484324108,0.3069844096899032,0.3257185369729996,0.022525192484324,0.0127853844558951,0.0322650005127529,8.705037546023694e-06,216,4,54
ood,otc,crsa,0.2972961547756285,0.2099387384396756,-0.0873574163359529,0.2949541509151459,0.2101925015449524,-0.0873574163359529,-0.1148367264131975,-0.0598781062587083,1.5549633756384627e-09,270,5,54
ood,otc,wrsa,0.5083528627048839,0.5549009533155532,0.046548090610669335,0.5153930187225342,0.5564887523651123,0.0465480906106691,0.0362974685889125,0.0567987126324257,6.879149723276019e-17,270,5,54
ood,otc-category,crsa,0.2779420162127776,0.1984867969705235,-0.0794552192422541,0.2821022868156433,0.1950081884860992,-0.0794552192422541,-0.1009380855507326,-0.0579723529337756,3.776769319479313e-12,270,5,54
ood,otc-category,wrsa,0.5126352660583727,0.5461880681060609,0.03355280204768818,0.5194283127784729,0.5451892614364624,0.033552802047688,0.0251133125091754,0.0419922915862007,1.2031784688945996e-13,270,5,54
ood,otc-streams,crsa,0.296276765409857,0.2098113682886053,-0.08646539712125167,0.2953369617462158,0.2069222182035446,-0.0864653971212516,-0.1139888953166688,-0.0589418989258345,2.3445363588506096e-09,270,5,54
ood,otc-streams,wrsa,0.510963475523573,0.5602828071230934,0.0493193315995204,0.5151669383049011,0.562826931476593,0.0493193315995202,0.039160927132317,0.0594777360667234,8.722258946984393e-19,270,5,54
ood,pSTS-words,crsa,0.0393314733695605,0.0367268655778995,-0.0026046077916609955,0.0328228157013654,0.0301719857379794,-0.002604607791661,-0.0122580223897525,0.0070488068064304,0.5937896795450901,108,2,54
ood,pSTS-words,wrsa,0.0744690155243557,0.081016268714198,0.0065472531898422975,0.0740032158792018,0.08176089823246,0.0065472531898422,-0.0041545146300513,0.0172490210097358,0.227825055284205,108,2,54
ood,v-objects,crsa,0.2444508705753833,0.1723639410898266,-0.0720869294855567,0.2398938238620758,0.1499527245759964,-0.0720869294855565,-0.0921268680833174,-0.0520469908877957,1.281277802874933e-11,270,5,54
ood,v-objects,wrsa,0.5264138700384082,0.5505492511249724,0.02413538108656421,0.5137010812759399,0.5399404764175415,0.024135381086564,0.0169047867189601,0.0313659754541679,2.6304860064140237e-10,270,5,54
