region,eval_type,n,mean,median,std,analysis
VWFA-2,wrsa,585,0.19302844290937987,0.1940754354000091,0.08311517751835823,ood
l-objects,crsa,585,0.1723050170108421,0.1797599047422409,0.08637923636446182,ood
l-objects,wrsa,585,0.40001562277897873,0.4318144023418426,0.12259602707412176,ood
laion-lateral,crsa,585,0.20451572445195373,0.212053894996643,0.11346646192200648,ood
laion-lateral,wrsa,585,0.42933545604061624,0.4415319561958313,0.09539454692032719,ood
laion-ventral,crsa,585,0.24815626250740144,0.2596409916877746,0.14085943149996466,ood
laion-ventral,wrsa,585,0.549231977498111,0.5677926540374756,0.10508067148286539,ood
mfs-words,crsa,468,0.12472268285285892,0.1214469745755195,0.08586625828694816,ood
mfs-words,wrsa,468,0.27159178309450044,0.2855328321456909,0.10369692562309225,ood
otc,crsa,585,0.23901487249148703,0.2531138658523559,0.1308006412470581,ood
otc,wrsa,585,0.5056559850819982,0.5274752378463745,0.09798865515585774,ood
otc-category,crsa,585,0.21731184656715863,0.2342047244310379,0.10897662429419558,ood
otc-category,wrsa,585,0.4816249959615087,0.5191892385482788,0.11255586335986109,ood
otc-streams,crsa,585,0.2387830693686667,0.2520333230495453,0.13061629341435074,ood
otc-streams,wrsa,585,0.5091341066118489,0.5291711091995239,0.10013432382641393,ood
pSTS-words,crsa,234,0.03404007169804094,0.02826322615146635,0.03140305491388511,ood
pSTS-words,wrsa,234,0.06491930270464923,0.0665500238537788,0.0391898606818949,ood
v-objects,crsa,585,0.18945367599192717,0.1861863583326339,0.11023782967699415,ood
v-objects,wrsa,585,0.4785154586562361,0.5102167129516602,0.1348373431678993,ood
